Username,CreatedAt,AvatarUrl,Id,Contributions,JavaScript,Python,Java,C#,PHP,TypeScript,Ruby,C++,C,Swift,Go,Shell,Kotlin,Rust,PowerShell,Objective-C,R,MATLAB,Dart,Vue,Assembly,Sass,CSS,HTML,Pascal,Racket,Zig,Other
thata,2008-06-29T14:17:56Z,https://avatars.githubusercontent.com/u/15457?u=d81e785a849b8e65932e17f3680aa8233e7687a4&v=4,2,235,28927,0,0,0,0,0,0,0,0,0,0,52467,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,449064
pantulis,2008-06-29T15:14:08Z,https://avatars.githubusercontent.com/u/15462?v=4,1,0,6426,0,0,0,0,0,41701,0,0,0,265,5289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11623
zeroth,2008-07-18T06:31:47Z,https://avatars.githubusercontent.com/u/17413?u=5b2e7cd7464900555359e1dee553a9b0cd85c311&v=4,1,95,733,212866,0,0,0,0,0,194503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81554
gen2brain,2008-07-18T07:20:14Z,https://avatars.githubusercontent.com/u/17418?u=194af708d9dec3fa7c3b5f9f5017217f615de4ef&v=4,1,346,0,229998,0,0,0,0,0,0,2055860,0,744666,6236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325
jkraemer,2008-08-03T10:28:27Z,https://avatars.githubusercontent.com/u/19400?v=4,1,30,5640,0,0,0,0,0,193812,0,0,0,0,6328,0,0,0,0,0,0,0,0,0,0,49,10589,0,0,0,0
jw,2008-08-03T12:54:40Z,https://avatars.githubusercontent.com/u/19406?v=4,2,190,214,445200,0,0,0,0,0,0,0,0,0,357,0,10021,0,0,0,0,0,0,0,0,271225,2948,0,0,0,0
enko,2008-08-03T13:18:39Z,https://avatars.githubusercontent.com/u/19407?u=f8c915dbbb22dbdde54a47e62b02bfef9b517578&v=4,1,138,16736,0,0,0,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3056,1879,11241,0,0,0
devongovett,2008-08-03T13:39:41Z,https://avatars.githubusercontent.com/u/19409?u=92d068dffb5d6885767709af7bc4ef8ddcb356b2&v=4,2,1200,11450866,0,0,0,0,4852399,0,0,0,0,0,5579,63,483921,0,0,0,0,0,3977,0,0,1131539,62343,0,0,0,3581184
johnmaster208,2008-08-13T20:13:58Z,https://avatars.githubusercontent.com/u/20583?v=4,1,0,171382,0,0,0,34467,0,0,0,0,0,0,3578,0,0,0,0,0,0,0,0,0,0,7931,2938,0,0,0,394
payamazadi,2008-08-13T20:16:09Z,https://avatars.githubusercontent.com/u/20584?u=9c8ff42ac649be061a69de64ee55c5994973bd97&v=4,2,32,127103,4402,0,140848,0,16711,0,0,0,0,0,1665,0,0,0,0,0,0,0,0,0,0,64521,442948,0,0,0,16726
